"Date","Android","iOS","Windows","BlackBerry OS","Series 40","Samsung","SymbianOS","Unknown","Nokia Unknown","bada","Sony Ericsson","Linux","Playstation","LG","Nintendo 3DS","Other"
2012,36.89,40.42,1.73,10.01,1.61,0.92,5.04,1.18,0,0.52,0.74,0.24,0.23,0.04,0.21,0.22
2013,46.64,37.99,3.1,4.86,2.52,0.67,1.95,1.03,0.01,0.36,0.3,0.14,0.1,0.1,0.12,0.09
2014,59.1,32.14,3.5,1.9,1.31,0.36,0.63,0.47,0.05,0.15,0.11,0.06,0.07,0.09,0.02,0.02
2015,63.51,28.79,4.03,1.52,0.72,0.21,0.32,0.31,0.2,0.09,0.05,0.08,0.07,0.06,0.02,0.02
2016,67.35,27.02,3.3,0.87,0.29,0.24,0.14,0.35,0.2,0.04,0.02,0.07,0.04,0.03,0.01,0.01
2017,68.9,28.14,1.76,0.22,0.13,0.23,0.06,0.35,0.11,0.01,0.01,0.03,0.02,0.02,0.01,0.01
2018,71,27.28,0.87,0.07,0.07,0.28,0.03,0.23,0.06,0.01,0,0.06,0.01,0.01,0.01,0
2019,72.61,26.52,0.39,0.03,0.03,0.28,0.01,0.03,0.03,0,0,0.06,0.01,0,0,0
2020,71.22,28.33,0.11,0.01,0.01,0.24,0,0.02,0.01,0,0,0.04,0,0,0,0
2021,67.21,32.11,0.03,0.01,0.01,0.58,0,0.02,0.01,0,0,0.01,0,0,0,0
2022,65.93,33.35,0.03,0,0,0.65,0,0.01,0.01,0,0,0.01,0,0,0,0
2023,64.54,34.92,0.03,0,0,0.47,0,0.01,0,0,0,0.01,0,0,0,0
2024,66.99,32.52,0.03,0,0,0.43,0,0.01,0,0,0,0.01,0,0,0,0
