"Date","Android","iOS","Windows","Series 40","Unknown","SymbianOS","BlackBerry OS","Samsung","LG","Nokia Unknown","Linux","Motorola","Sony Ericsson","Playstation","bada","Firefox OS","MeeGo","Other"
2012,38.48,13.04,1,9.89,9.21,16.58,3.54,5.41,0.02,0,0.24,0.83,1.06,0.11,0.26,0,0.14,0.19
2013,55.39,14.13,3.57,10.74,5.14,3.89,2.71,1.77,1.22,0.04,0.15,0.5,0.35,0.07,0.13,0,0.1,0.09
2014,73.38,13.18,4.49,4.12,1.06,0.82,1.3,0.48,0.69,0.11,0.07,0.09,0.06,0.06,0.03,0.01,0.02,0.01
2015,78.4,10.61,5.14,2.35,0.49,0.44,0.95,0.17,0.35,0.69,0.22,0.04,0.02,0.06,0.01,0.04,0.01,0.01
2016,82.43,9.4,4.37,1.13,0.47,0.24,0.64,0.13,0.24,0.66,0.17,0.02,0.01,0.04,0.01,0.03,0,0
2017,86.24,8.79,2.37,0.53,0.67,0.15,0.22,0.2,0.35,0.36,0.06,0.01,0,0.03,0.01,0.01,0,0
2018,86.94,10,1.21,0.23,0.77,0.06,0.09,0.31,0.2,0.11,0.03,0,0,0.02,0,0.01,0,0.01
2019,88.2,10.41,0.57,0.09,0.33,0.02,0.04,0.26,0.02,0.03,0.01,0,0,0.01,0,0,0,0.01
2020,88.76,10.83,0.11,0.01,0.02,0,0.01,0.23,0,0,0,0,0,0.01,0,0,0,0
2021,88.59,11.11,0.02,0.01,0.01,0,0.01,0.23,0,0,0,0,0,0.01,0,0,0,0
2022,87.77,11.96,0.02,0.01,0.01,0,0,0.22,0,0,0,0,0,0,0,0,0,0
2023,84.52,15.15,0.02,0,0.02,0,0,0.28,0,0,0,0,0,0,0,0,0,0
2024,84.55,15.21,0.02,0,0,0,0,0.18,0,0,0.01,0,0,0,0,0,0,0
