"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Windows","BlackBerry OS","Nokia Unknown","Linux","Sony Ericsson","KaiOS","bada","Tizen","LG","Playstation","Firefox OS","MeeGo","Nintendo 3DS","Other"
2012,27.41,24.04,10.64,4.64,18.15,6.46,0.96,5.09,0,0.11,1.21,0,0.65,0,0.06,0.16,0,0.03,0.14,0.25
2013,39.21,24.03,13.47,4.29,6.82,4.72,1.59,3.58,0.12,0.77,0.56,0,0.33,0,0.22,0.07,0,0.02,0.08,0.12
2014,53.65,23.95,7.85,3.2,2.7,2.68,2.35,1.82,0.65,0.43,0.24,0,0.16,0,0.19,0.06,0,0.01,0.02,0.03
2015,64.2,20.2,3.93,3.16,1.18,1.07,2.29,1.19,2.06,0.31,0.1,0,0.07,0.04,0.1,0.04,0.01,0.03,0.01,0.01
2016,69.11,19.29,1.75,3.44,0.51,0.64,1.75,0.75,2.04,0.37,0.06,0,0.03,0.11,0.06,0.02,0.01,0.04,0,0.01
2017,72.63,19.65,0.64,3.73,0.21,0.37,0.89,0.3,1.09,0.07,0.02,0,0.01,0.22,0.05,0.01,0.07,0.02,0,0
2018,75.45,20.47,0.3,1.94,0.11,0.28,0.47,0.1,0.21,0.06,0.01,0.29,0,0.15,0.03,0.01,0.11,0.01,0,0
2019,75.47,22.71,0.11,0.29,0.03,0.22,0.21,0.03,0.1,0.04,0.01,0.69,0,0.07,0,0.01,0,0,0,0
2020,73.06,26.28,0.02,0.12,0.01,0.21,0.06,0.01,0.03,0.02,0,0.15,0,0.02,0,0,0,0,0,0
2021,71.89,27.34,0.02,0.14,0,0.39,0.02,0.01,0.02,0.02,0,0.15,0,0.01,0,0,0,0,0,0
2022,71.47,27.85,0.01,0.12,0,0.4,0.02,0,0.01,0.01,0,0.1,0,0,0,0,0,0,0,0
2023,70.26,29.02,0.01,0.15,0.01,0.38,0.02,0,0.01,0.01,0,0.13,0,0,0,0,0,0,0,0
2024,71.46,27.9,0,0.14,0,0.35,0.02,0,0.01,0.01,0,0.1,0,0,0,0,0,0,0,0
